id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
"53001002776,530010,DF,Brasília,CRAS PARANOÁ,,,03 ÁREA ESPECIAL 07 - 0,0,,ATRÁS DO FORUM DO PARANOÁ,PARANOÁ,71570301,""-15.780979586370549\,-47.78420805931091"",2023-08-24T04:00:02.830Z"
"53001002784,530010,DF,Brasília,CRAS SANTA MARIA,,,209/309 ENTREQUADRAS - 0,0,ÁREA ESPECIAL BLOCO B,PRÓXIMO AO CONSELHO TUTELAR DA SUL.,SANTA MARIA,72509300,""-16.023811460566865\,-48.021210730075836"",2023-08-24T04:00:02.899Z"
"53001002806,530010,DF,Brasília,CRAS SAMAMBAIA,,,QN 317 ÁREA ESPECIAL Nº 02 - 2,2,,Isnstituição Casa Azul.,SAMAMBAIA SUL,72307717,""-15.89137974682383\,-48.111716508865356"",2023-08-24T04:00:02.792Z"
"53001002811,530010,DF,Brasília,CRAS Candangolândia,,,QUADRA RESIDENCIAL 2 Área Especial - 0,0,ÁREA ESPECIAL,Em frente a paróquia São José Operário,CANDANGOLÂNDIA,71725200,""-15.853234911481294\,-47.95104011893267"",2023-08-24T04:00:02.622Z"
"53001002816,530010,DF,Brasília,CRAS RIACHO FUNDO,,,QS 12 ÁREA ESPECIAL LOTE F - 0,0,,Próximo a avenida Sucupira,RIACHO FUNDO I,71825226,""-15.8808386\,-48.01193510000002"",2023-08-24T04:00:02.899Z"
"53001002817,530010,DF,Brasília,CRAS Núcleo Bandeirante,,,""Avenida Central Área Especial Lote """"E"""" - 0"",0,Lote E,Ao lado da 11a Delegacia de Polícia,Núcleo Bandeirante,71705510,""-15.869802242403352\,-47.96671897172928"",2023-08-24T04:00:03.475Z"
"53001002819,530010,DF,Brasília,CRAS Brazlândia,,,QD 35/36 ÁREA ESPECIAL II - 02,02,,Ao lado do Restaurante Comunitário.,VILA SÃO JOSÉ,72710610,""-15.663453395187032\,-48.1964635848999"",2023-08-24T04:00:02.899Z"
"53001002875,530010,DF,Brasília,CRAS RECANTO DAS EMAS,,,Avenida Buritis Quadra 602 Área especial lote 01 - 0,0,Avenida Buritis,Próximo ao Supermercado Euro,RECANTO DAS EMAS,72640200,""-15.9167223\,-48.05487010000002"",2023-08-24T04:00:02.657Z"
"53001002882,530010,DF,Brasília,CRAS SOBRADINHO,,,06 ÁREA ESPECIAL 3 S/N - 0,0,,Em frente ao Centro de Ensino Médio nº 1 - Sobradinho,SOBRADINHO,73025060,""-15.65260617509482\,-47.798659801483154"",2023-08-24T04:00:03.396Z"
"53001002909,530010,DF,Brasília,CRAS VARJÃO,,,07 CONJUNTO D - 0,0,LOTE 1A,AO LADO DA ESCOLA CLASSE DO VARJÃO.,VARJÃO,71555242,""-15.709103544699243\,-47.87865936756134"",2023-08-24T04:00:03.222Z"
"53001002914,530010,DF,Brasília,CRAS Ceilândia Sul,,,QNM 15 ÁREA ESPECIAL MÓDULO A - 15,15,,,CEILÂNDIA SUL,72215150,""-15.827460804089403\,-48.09816598892212"",2023-08-24T04:00:02.830Z"
"53001002917,530010,DF,Brasília,CRAS São Sebastião,,,201 ÁREA ESPECIAL 05 - 0,0,RESIDENCIAL OESTE,Em frente ao restaurante comunitário,SÃO SEBASTIÃO,71692466,""-15.90508265579083\,-47.7751100063324"",2023-08-24T04:00:02.699Z"
"53001003104,530010,DF,Brasília,CRAS Gama,,,ÁREA ESPECIAL 11/13 - 0,0,SETOR CENTRAL,Ao lado da 14º DP,GAMA,72405610,""-16.0123751367866\,-48.06824192404748"",2023-08-24T04:00:02.863Z"
"53001003258,530010,DF,Brasília,CRAS Guará,,,EQ 15/26 ÁREA COMUNAL 1 GUARÁ II - 0,0,,Ao lado da 4a DP,GUARÁ II,71050150,""-15.831443280447548\,-47.98038721401673"",2023-08-24T04:00:02.863Z"
"53001003356,530010,DF,Brasília,CRAS PLANALTINA,,,AREA ESPECIAL H LOTE 06 Quadra - 02,02,SETOR EDUCACIONAL,BATALHÃO DO CORPO DE BOMBEIROS,PLANALTINA,73310164,""-15.618218568263265\,-47.65498436256564"",2023-08-24T04:00:02.899Z"
"53001003360,530010,DF,Brasília,CRAS TAGUATINGA,,,"" QNG - 27"",27,ÁREA ESPECIAL - MÓDULO 04,próximo ao Centro Radiológico de Taguatinga,TAGUATINGA NORTE,72130270,""-15.80139141955263\,-48.066446185112"",2023-08-24T04:00:02.792Z"
"53001004854,530010,DF,Brasília,CRAS ESTRUTURAL,,,Quadra 05 Área Especial  - 2,2,Setor Oeste,Em frente ao lixão da Estrutural.,CIDADE ESTRUTURAL,70297400,""-15.771625420458667\,-47.91747093200684"",2023-08-24T04:00:03.222Z"
"53001004871,530010,DF,Brasília,CRAS ITAPOÃ,,,QUADRA 61 ÁREA ESPECIAL 3 - 0,0,DEL LAGO,AO LADO DO RESTAURANTE COMUNITÁRIO,ITAPOÃ,70610200,""-15.744768515105664\,-47.77023375034332"",2023-08-24T04:00:02.830Z"
"53001006595,530010,DF,Brasília,CRAS Ceilândia Norte,,,QNN  - 15,15,ÁREA ESPECIAL MÓDULO A,Próximo à Estação Central do Metrô,CEILÂNDIA NORTE,72225151,""-15.810384514137326\,-48.11940640211105"",2023-08-24T04:00:03.524Z"
"53001020404,530010,DF,Brasília,CRAS SOBRADINHO/FERCAL,,,DF 150 KM 12 AREA ESPECIAL - 0,0,ENGENHO VELHO,PRÓXIMO À ESCOLA CLASSE DO ENGENHO VELHO.,SOBRADINHO / FERCAL,73150100,""-15.639319\,-47.85002589999999"",2023-08-24T04:00:02.699Z"
"53001020438,530010,DF,Brasília,CRAS ARAPOANGA,,,Quadra 05 Conjunto F Lote - 05,05,,,Arapoanga,73368532,""-15.637181470457922\,-47.6432740688324"",2023-08-24T04:00:04.331Z"
"53001020474,530010,DF,Brasília,CRAS SAMAMBAIA EXPANSÃO,,,QR 833 Conjunto 8 Lote 1 - 1,1,,,SAMAMBAIA,72318301,""-15.86083892202443\,-48.08182060718537"",2023-08-24T04:00:03.187Z"
"53001035123,530010,DF,Brasília,CRAS SOBRADINHO II,,,AR 13 AREA ESPECIAL 05 - 0,0,SETOR OESTE,PROXIMO AO COER,SOBRADINHO II,73062300,""-15.6451834\,-47.82275870000001"",2023-08-24T04:00:05.162Z"
"53001035143,530010,DF,Brasília,CRAS RIACHO FUNDO II,,,"" QC 04 ÁREA ESPECIAL S/N - 0"",0,,PRÓXIMO À HORTA COMUNITÁRIA,RIACHO FUNDO II,71882180,""-15.9420811\,-48.037866099999974"",2023-08-24T04:00:05.238Z"
"53001035663,530010,DF,Brasília,CRAS P SUL,,,EQNP 12/16 Área Especial s/n lote A/B - 00,00,,Atrás da madeireira Jacuy,Ceilândia P Sul,72231531,""-15.84188638947847\,-48.1164425611496"",2023-08-24T04:00:04.518Z"
"53001036113,530010,DF,Brasília,CRAS BRASILIA,,,""SGAS 614/615, lote 104B - 104"",104,,AO LADO DO COLÉGIO MARISTÃO,Asa Sul,70200740,""-15.83635235514161\,-47.91588306427003"",2023-08-24T04:00:04.479Z"
"53001037295,530010,DF,Brasília,CRAS Areal,,,QS 09 Área Especial lotes 01 a 07  - 0,0,Lote 1/7,Atrás da Universidade Católica de Brasília,Areal (Águas Claras),71976300,""-15.870039323195964\,-48.02472710609436"",2023-08-24T04:00:04.518Z"
53001039865,530010,DF,Brasília,CRAS RECANTO DAS EMAS II,,,QD 113 AE LOTE - 01,01,,,RECANTO DAS EMAS,72603100,,2023-08-24T04:00:06.966Z
53001039867,530010,DF,Brasília,CRAS SOL NASCENTE,,,QNR 02 ESTAÇÃO CIDADANIA - 00,00,,,SOL NASCENTE,72265080,,2023-08-24T04:00:06.966Z
