Name,Birthday
George Washington,1732-02-22
John Adams,1735-10-19
Thomas Jefferson,1743-04-13
James Madison,1751-03-16
James Monroe,1758-04-28
John Adams,1767-07-11
Andrew Jackson,1767-03-15
Martin Van Buren,1782-12-05
William Harrison,1773-02-09
John Tyler,1790-03-29
James Polk,1795-11-02
Zachary Taylor,1784-11-24
Millard Fillmore,1800-01-07
Franklin Pierce,1804-11-23
James Buchanan,1791-04-23
Abraham Lincoln,1809-02-12
Andrew Johnson,1808-12-29
Ulysses Grant,1822-04-27
Rutherford Hayes,1822-10-04
James Garfield,1831-11-19
Chester Arthur,1829-10-05
Benjamin Harrison,1833-08-20
Grover Cleveland,1837-03-18
William McKinley,1843-01-29
Theodore Roosevelt,1858-10-27
William Taft,1857-09-15
Woodrow Wilson,1856-12-28
Warren Harding,1865-11-02
Calvin Coolidge,1872-07-04
Herbert Hoover,1874-08-10
Franklin Roosevelt,1882-01-30
Harry Truman,1884-05-08
Dwight Eisenhower,1890-10-14
John Kennedy,1917-05-29
Lyndon Johnson,1908-08-27
Richard Nixon,1913-01-09
Gerald Ford,1913-07-14
James Carter,1924-10-01
Ronald Reagan,1911-02-06
George Bush,1924-06-12
William Clinton,1946-08-19
George Bush,1946-07-06
Joseph Biden,1942-11-20
Barack Obama,1961-08-04
Donald Trump,1946-06-14
