Name,Birthday,MES_ANIVERSARIO
George Washington,1732-02-22,1
John Adams,1735-10-19,1
Thomas Jefferson,1743-04-13,1
James Madison,1751-03-16,1
James Monroe,1758-04-28,1
John Adams,1767-07-11,1
Andrew Jackson,1767-03-15,1
Martin Van Buren,1782-12-05,1
William Harrison,1773-02-09,1
John Tyler,1790-03-29,1
James Polk,1795-11-02,1
Zachary Taylor,1784-11-24,1
Millard Fillmore,1800-01-07,1
Franklin Pierce,1804-11-23,1
James Buchanan,1791-04-23,1
Abraham Lincoln,1809-02-12,1
Andrew Johnson,1808-12-29,1
Ulysses Grant,1822-04-27,1
Rutherford Hayes,1822-10-04,1
James Garfield,1831-11-19,1
Chester Arthur,1829-10-05,1
Benjamin Harrison,1833-08-20,1
Grover Cleveland,1837-03-18,1
William McKinley,1843-01-29,1
Theodore Roosevelt,1858-10-27,1
William Taft,1857-09-15,1
Woodrow Wilson,1856-12-28,1
Warren Harding,1865-11-02,1
Calvin Coolidge,1872-07-04,1
Herbert Hoover,1874-08-10,1
Franklin Roosevelt,1882-01-30,1
Harry Truman,1884-05-08,1
Dwight Eisenhower,1890-10-14,1
John Kennedy,1917-05-29,1
Lyndon Johnson,1908-08-27,1
Richard Nixon,1913-01-09,1
Gerald Ford,1913-07-14,1
James Carter,1924-10-01,1
Ronald Reagan,1911-02-06,1
George Bush,1924-06-12,1
William Clinton,1946-08-19,1
George Bush,1946-07-06,1
Joseph Biden,1942-11-20,1
Barack Obama,1961-08-04,1
Donald Trump,1946-06-14,1
