Name,Birthday,MES_ANIVERSARIO
George Washington,1732-02-22,2
John Adams,1735-10-19,2
Thomas Jefferson,1743-04-13,2
James Madison,1751-03-16,2
James Monroe,1758-04-28,2
John Adams,1767-07-11,2
Andrew Jackson,1767-03-15,2
Martin Van Buren,1782-12-05,2
William Harrison,1773-02-09,2
John Tyler,1790-03-29,2
James Polk,1795-11-02,2
Zachary Taylor,1784-11-24,2
Millard Fillmore,1800-01-07,2
Franklin Pierce,1804-11-23,2
James Buchanan,1791-04-23,2
Abraham Lincoln,1809-02-12,2
Andrew Johnson,1808-12-29,2
Ulysses Grant,1822-04-27,2
Rutherford Hayes,1822-10-04,2
James Garfield,1831-11-19,2
Chester Arthur,1829-10-05,2
Benjamin Harrison,1833-08-20,2
Grover Cleveland,1837-03-18,2
William McKinley,1843-01-29,2
Theodore Roosevelt,1858-10-27,2
William Taft,1857-09-15,2
Woodrow Wilson,1856-12-28,2
Warren Harding,1865-11-02,2
Calvin Coolidge,1872-07-04,2
Herbert Hoover,1874-08-10,2
Franklin Roosevelt,1882-01-30,2
Harry Truman,1884-05-08,2
Dwight Eisenhower,1890-10-14,2
John Kennedy,1917-05-29,2
Lyndon Johnson,1908-08-27,2
Richard Nixon,1913-01-09,2
Gerald Ford,1913-07-14,2
James Carter,1924-10-01,2
Ronald Reagan,1911-02-06,2
George Bush,1924-06-12,2
William Clinton,1946-08-19,2
George Bush,1946-07-06,2
Joseph Biden,1942-11-20,2
Barack Obama,1961-08-04,2
Donald Trump,1946-06-14,2
